state_cn,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,regofgeo,regofeco
安徽,0,0,0,0,2,2,9,2,5,11,2,29,13,7,华东,中部
江西,0,0,0,0,0,1,1,0,1,0,2,2,2,2,华东,中部
山西,0,0,0,0,0,0,0,0,0,0,0,0,1,0,华北,中部
湖南,0,0,0,0,0,0,0,0,0,2,0,2,2,1,华中,中部
湖北,0,0,0,0,3,1,3,3,4,1,4,11,4,1,华中,中部
河南,0,0,0,0,0,0,1,1,2,2,2,0,4,1,华中,中部
上海,1,1,1,3,9,26,27,38,32,44,67,57,76,21,华东,东部
江苏,0,0,0,0,0,5,10,4,14,21,10,41,11,9,华东,东部
浙江,0,0,0,0,1,3,1,5,3,7,9,12,17,6,华东,东部
福建,0,0,0,0,0,0,0,0,3,1,1,4,2,2,华东,东部
山东,0,0,0,0,0,0,2,0,3,4,2,2,0,3,华东,东部
北京,1,2,2,4,5,9,14,19,26,25,26,39,46,25,华北,东部
天津,0,0,0,0,3,1,1,9,8,3,5,9,4,2,华北,东部
河北,0,0,0,0,0,0,0,1,1,0,1,0,1,0,华北,东部
广东,0,1,1,1,2,5,11,12,10,9,22,31,40,14,华南,东部
海南,0,0,0,0,0,0,0,0,0,0,0,0,2,0,华南,东部
台湾,0,0,0,1,2,2,6,14,16,17,17,19,20,4,华东,港澳台
香港,0,0,0,1,3,3,10,19,49,23,22,26,22,8,华南,港澳台
澳门,0,0,0,0,0,0,0,0,0,1,1,3,0,3,华南,港澳台
黑龙江,0,0,0,0,0,0,0,0,0,0,0,2,2,0,东北,东北
吉林,0,0,0,0,0,0,0,0,0,0,0,2,1,0,东北,东北
辽宁,0,0,0,0,0,1,0,4,1,3,5,2,4,2,东北,东北
内蒙古,0,0,0,0,0,0,0,1,0,2,2,0,0,0,华北,西部
广西,0,0,0,0,0,0,0,1,0,0,0,0,0,1,华南,西部
四川,0,0,0,0,0,0,3,2,7,5,9,7,7,2,西南,西部
贵州,0,0,0,0,0,0,1,1,1,0,3,1,3,1,西南,西部
云南,0,0,0,0,0,0,1,0,0,0,1,1,2,2,西南,西部
重庆,0,0,0,0,0,1,1,1,2,4,4,3,4,3,西南,西部
西藏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,西南,西部
陕西,0,0,0,0,0,0,1,1,1,3,1,2,2,0,西北,西部
甘肃,0,0,0,0,0,0,0,0,0,0,0,0,0,1,西北,西部
青海,0,0,0,0,0,0,0,0,0,0,0,0,0,0,西北,西部
宁夏,0,0,0,0,0,0,0,0,0,0,0,0,1,0,西北,西部
新疆,0,0,0,0,0,0,0,0,0,0,0,1,0,0,西北,西部
南海诸岛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,华南,东部
